open,effort,label
2018-04-14T13:21:43Z,25,A-libs;A-libs
2018-04-14T14:42:55Z,4,I-nominated;I-wrong;I-nominated;I-wrong
2018-04-14T15:21:26Z,334,S-waiting-on-review;S-waiting-on-review
2018-04-14T19:25:59Z,369,B-RFC-approved;C-tracking-issue;E-needs-mentor;T-lang;WG-compiler-front;C-tracking-issue;T-lang
2018-04-14T19:26:54Z,1391,S-waiting-on-review;S-waiting-on-review
2018-04-14T21:51:45Z,33,A-io;B-unstable;T-libs;A-io;B-unstable;T-libs;A-io;B-unstable;T-libs
2018-04-14T23:17:05Z,0,A-traits;T-compiler;WG-compiler-traits;A-traits;T-compiler;WG-compiler-traits
2018-04-15T11:39:03Z,31,regression-from-stable-to-stable
2018-04-15T14:00:33Z,1002,B-unstable;T-lang;B-unstable;T-lang
2018-04-15T18:25:28Z,34,NULL
2018-04-15T20:02:39Z,137,A-macros;E-medium;E-mentor;A-macros;E-medium;E-mentor
2018-04-15T20:48:42Z,162,NULL
2018-04-15T21:52:50Z,0,NULL
2018-04-15T23:15:28Z,0,NULL
