survived,year of survival,num_easy_y1,effort_y1
0,0,0,197
0,0,0,9
0,0,0,31
0,0,0,6
0,0,0,3
1,2016,0,4
0,0,0,13
1,2017,0,4
0,0,0,12
1,2019,0,32
1,2016,0,6
0,0,0,66
0,0,0,867
0,0,1,70
0,0,0,20
0,0,0,44
0,0,0,54
0,0,0,64
1,2014,0,2
1,2016,0,2506
1,2014,0,50
0,0,0,18
0,0,0,2
0,0,0,184
0,0,0,2
0,0,0,29
0,0,0,2
0,0,0,41
0,0,2,16
0,0,0,454
1,2016,3,157
0,0,0,4
0,0,0,42
0,0,0,2
1,2016,1,66
0,0,0,10
0,0,0,2
0,0,0,13
0,0,4,61
0,0,0,42888
0,0,0,47
0,0,0,83
0,0,0,11
0,0,0,42
0,0,0,2
1,2014,0,1138
1,2019,0,56
0,0,0,27
0,0,1,14
